id;name;code;validation_date;selling_price
1;Generic Steel Tuna;53676;2020-09-16;98311
2;quantify cross-platform support;98666;2020-09-16;35091
3;wireless Computer;76146;2020-09-15;76808
4;deposit Sri Lanka Rupee THX;28913;2020-09-16;88209
5;Unbranded Centers;13165;2020-09-16;59460
6;withdrawal navigating Metical;43291;2020-09-16;32061
7;Democratic People's Republic of Korea Internal compressing;55080;2020-09-16;30312
8;green Credit Card Account;51217;2020-09-16;32770
9;Drive neutral;4329;2020-09-16;16473
10;Licensed Wooden Computer;56622;2020-09-16;95238
